,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loss,epsilon,tair,action,pmv,qheat,reward,occ
46,46,46,46,896792.5625,0.0,6.471470665437591,18.22222222222222,-3.802894529899199,0.0,1.0,0.0
47,47,47,47,1153804.375,0.0,6.476390078488543,18.22222222222222,-3.802839145869756,0.0,1.0,0.0
48,48,48,48,1422694.25,0.0,6.478160833193217,16.555555555555557,-3.802641056212588,0.0,1.0,0.0
49,49,49,49,7152991.0,0.0,6.476593374113201,16.555555555555557,-3.802933048133139,0.0,1.0,0.0
50,50,50,50,52957.03125,0.0,6.474456437579763,16.555555555555557,-3.80369181680973,0.0,1.0,0.0
51,51,51,51,3112408.75,0.0,6.475092014150005,16.555555555555557,-3.804246586253531,0.0,1.0,0.0
52,52,52,52,36526356.0,0.0,6.479537139481364,16.555555555555557,-3.803957019182732,0.0,1.0,0.0
53,53,53,53,2650319.25,0.0,6.487639844497261,16.555555555555557,-3.802916956714921,0.0,1.0,0.0
54,54,54,54,2640438.0,0.0,6.497057747291045,16.050505050505052,-3.801011435252046,0.0,1.0,0.0
55,55,55,55,1483360.75,0.0,6.50727644317453,16.050505050505052,-3.798757325713013,0.0,1.0,0.0
56,56,56,56,15852.78125,0.0,6.518635430545134,18.424242424242426,-3.796143189567893,0.0,1.0,0.0
57,57,57,57,12467027.0,0.0,6.533183353380407,18.424242424242426,-3.7932372278226607,0.0,1.0,0.0
58,58,58,58,21290814.0,0.0,6.551914726438567,18.424242424242426,-3.7892691845058457,0.0,1.0,0.0
59,59,59,59,22289724.0,0.0,6.57470172654553,18.424242424242426,-3.7844318430855286,0.0,1.0,0.0
60,60,60,60,11229669.0,0.0,6.602595965288932,18.424242424242426,-3.778667720962447,0.0,1.0,0.0
61,61,61,61,526666.4375,0.0,6.635374471825917,18.424242424242426,-3.771869910239611,0.0,1.0,0.0
62,62,62,62,18683952.0,0.0,6.672095337121654,18.424242424242426,-3.763999427121557,0.0,1.0,0.0
63,63,63,63,9983595.0,0.0,6.711562971995152,18.424242424242426,-3.7553356901768034,0.0,1.0,0.0
64,64,64,64,3005346.0,0.0,6.753130286524018,18.424242424242426,-3.746146328935296,0.0,1.0,0.0
65,65,65,65,3557984.5,0.0,6.795706793320827,18.424242424242426,-3.73653618546923,0.0,1.0,0.0
66,66,66,66,552303.125,0.0,6.839421677296312,18.424242424242426,-3.7265380365043934,0.0,1.0,0.0
67,67,67,67,702561.1875,0.0,6.885479630997667,18.424242424242426,-3.716181482405264,0.0,1.0,0.0
68,68,68,68,2772206.25,0.0,6.942422825697929,18.424242424242426,-3.705207122479787,0.0,1.0,0.0
69,69,69,69,42739708.0,0.0,6.995920162560687,18.424242424242426,-3.690086410314078,0.0,1.0,0.0
70,70,70,70,4653271.5,0.0,7.04088069566069,16.050505050505052,-3.680143066597464,0.0,1.0,0.0
71,71,71,71,827694.5,0.0,7.08110690437052,16.050505050505052,-3.669819438278201,0.0,1.0,0.0
72,72,72,72,13387745.0,0.0,7.118235318503753,16.050505050505052,-3.660295664660585,0.0,1.0,0.0
73,73,73,73,2275360.5,0.0,7.153610236193164,16.050505050505052,-3.651273615678364,0.0,1.0,0.0
74,74,74,74,9296455.0,0.0,7.188178090437703,16.050505050505052,-3.64256213278254,0.0,1.0,0.0
75,75,75,75,1675376.625,0.0,7.289252441420975,16.050505050505052,-3.6340250831757808,0.0,1.0,0.0
76,76,76,76,811785.25,0.0,7.472965858455168,16.050505050505052,-3.5994589308769824,0.0,1.0,0.0
77,77,77,77,19776942.0,0.0,7.730147039963053,16.555555555555557,-3.555755788188278,0.0,1.0,0.0
78,78,78,78,10894490.0,0.0,7.904964206908546,16.555555555555557,-3.495105227832209,0.0,1.0,0.0
