Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  15:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,109040.41581276289,0.0 
 01/01  15:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,107843.00861725751,0.0 
 01/01  16:00:00,5812.315488,0.0,661661.2519701427,0.0,,,,,,,,,,,,,968.719248,0.0,106992.8836800468,0.0 
 01/01  16:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,106915.94415377632,0.0 
 01/01  16:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,107142.70080164961,0.0 
 01/01  16:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,107622.31564520425,0.0 
 01/01  16:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,108303.87342064808,0.0 
 01/01  16:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,109089.31178536659,0.0 
 01/01  17:00:00,5812.315488,0.0,648944.2795080934,0.0,,,,,,,,,,,,,968.719248,0.0,109870.13370144859,0.0 
 01/01  17:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,110815.81560548146,0.0 
 01/01  17:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,112538.08113428833,0.0 
 01/01  17:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,114521.75196643558,0.0 
 01/01  17:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,116686.31255377222,0.0 
 01/01  17:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,118970.81255444009,0.0 
 01/01  18:00:00,5812.315488,0.0,694875.5225299258,0.0,,,,,,,,,,,,,968.719248,0.0,121342.74871550815,0.0 
 01/01  18:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,123001.85660412071,0.0 
 01/01  18:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,124694.58981654438,0.0 
 01/01  18:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,126390.52639612674,0.0 
 01/01  18:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,128072.76138209751,0.0 
 01/01  18:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,129728.58102979954,0.0 
 01/01  19:00:00,5812.315488,0.0,763242.961424988,0.0,,,,,,,,,,,,,968.719248,0.0,131354.6461962992,0.0 
 01/01  19:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,133255.16473397,0.0 
 01/01  19:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,135128.46199412223,0.0 
 01/01  19:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,136980.95623260045,0.0 
 01/01  19:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,138819.22431261705,0.0 
 01/01  19:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,140645.88769603015,0.0 
 01/01  20:00:00,5812.315488,0.0,827292.7395404379,0.0,,,,,,,,,,,,,968.719248,0.0,142463.0445710982,0.0 
 01/01  20:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,143902.88576623717,0.0 
 01/01  20:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,145326.0418944241,0.0 
 01/01  20:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,146735.94900973323,0.0 
 01/01  20:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,148143.44262232219,0.0 
 01/01  20:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,149554.04130829493,0.0 
 01/01  21:00:00,5812.315488,0.0,884627.5726932883,0.0,,,,,,,,,,,,,968.719248,0.0,150965.21209227664,0.0 
