Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  11:00:00,5812.315488,0.0,1011567.7333017963,0.0,,,,,,,,,,,,,968.719248,0.0,166471.91658605814,0.0 
 01/01  11:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,165407.1582647636,0.0 
 01/01  11:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,164273.57078698663,0.0 
 01/01  11:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,163063.90954750347,0.0 
 01/01  11:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,161748.96143117618,0.0 
 01/01  11:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,160337.40265430607,0.0 
 01/01  12:00:00,5812.315488,0.0,973716.8344678979,0.0,,,,,,,,,,,,,968.719248,0.0,158885.83178316203,0.0 
 01/01  12:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,157666.95764116199,0.0 
 01/01  12:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,156433.46249646593,0.0 
 01/01  12:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,155200.5602243691,0.0 
 01/01  12:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,153959.0073567716,0.0 
 01/01  12:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,152559.61272301229,0.0 
 01/01  13:00:00,5812.315488,0.0,926639.2087110916,0.0,,,,,,,,,,,,,968.719248,0.0,150819.60826931065,0.0 
 01/01  13:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,148567.53631947033,0.0 
 01/01  13:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,145909.6859682761,0.0 
 01/01  13:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,142906.33057598398,0.0 
 01/01  13:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,139657.4172122756,0.0 
 01/01  13:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,136438.4239251208,0.0 
 01/01  14:00:00,5812.315488,0.0,847398.705186095,0.0,,,,,,,,,,,,,968.719248,0.0,133919.31118496823,0.0 
 01/01  14:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,130108.51569166561,0.0 
 01/01  14:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,126374.64514351786,0.0 
 01/01  14:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,122670.71167324634,0.0 
 01/01  14:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,119059.91825854742,0.0 
 01/01  14:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,115617.16652768839,0.0 
 01/01  15:00:00,5812.315488,0.0,726266.5062597025,0.0,,,,,,,,,,,,,968.719248,0.0,112435.54896503684,0.0 
 01/01  15:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,109841.94637310013,0.0 
 01/01  15:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,107568.91667264172,0.0 
 01/01  15:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,105625.92884346588,0.0 
 01/01  15:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,104037.24828796386,0.0 
 01/01  15:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,102796.73816709075,0.0 
 01/01  16:00:00,5812.315488,0.0,631774.5403339042,0.0,,,,,,,,,,,,,968.719248,0.0,101903.76198964186,0.0 
 01/01  16:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,101783.31998458764,0.0 
 01/01  16:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,101968.23272150668,0.0 
 01/01  16:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,102408.32557402012,0.0 
 01/01  16:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,103052.65233274286,0.0 
 01/01  16:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,103804.82614664042,0.0 
 01/01  17:00:00,5812.315488,0.0,617577.396471638,0.0,,,,,,,,,,,,,968.719248,0.0,104560.03971214034,0.0 
 01/01  17:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,105535.8556805997,0.0 
 01/01  17:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,107135.21000087005,0.0 
 01/01  17:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,109085.25313617946,0.0 
 01/01  17:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,111220.66158977752,0.0 
 01/01  17:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,113481.61392108744,0.0 
 01/01  18:00:00,5812.315488,0.0,662293.9417001393,0.0,,,,,,,,,,,,,968.719248,0.0,115835.34737162516,0.0 
 01/01  18:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,117480.96417273693,0.0 
 01/01  18:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,119164.63323000501,0.0 
 01/01  18:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,120855.32311307878,0.0 
 01/01  18:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,122535.92219243094,0.0 
 01/01  18:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,124193.22730070116,0.0 
 01/01  19:00:00,5812.315488,0.0,730053.8532976954,0.0,,,,,,,,,,,,,968.719248,0.0,125823.78328874249,0.0 
 01/01  19:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,127731.39937943703,0.0 
 01/01  19:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,129614.27241302646,0.0 
 01/01  19:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,131478.39539303498,0.0 
 01/01  19:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,133330.197310384,0.0 
 01/01  19:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,135171.9548525368,0.0 
 01/01  20:00:00,5812.315488,0.0,794331.8820196841,0.0,,,,,,,,,,,,,968.719248,0.0,137005.6626712648,0.0 
 01/01  20:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,138463.24183346344,0.0 
 01/01  20:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,139905.24628486375,0.0 
 01/01  20:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,141334.89539341056,0.0 
