Date/Time,CELLS:ROOMX1:Zone Outdoor Air Drybulb Temperature [C](TimeStep),PEOPLE CELLS:ROOMX1:People Occupant Count [](TimeStep),CELLS:ROOMX1:Zone Mean Radiant Temperature [C](TimeStep),CELLS:ROOMX1:Zone Mean Air Temperature [C](TimeStep),CELLS:ROOMX1:Zone Air Relative Humidity [%](TimeStep),CELLS:ROOMX1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  08:10:00,-1.2094249934013175,0.0,7.20169216150714,6.738643532540629,42.085676145057508,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173487.97080417499,0.0 
 01/01  08:20:00,-1.1094249934013175,0.0,7.192392230677826,6.736256438428315,42.18245383771642,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173272.46062397873,0.0 
 01/01  08:30:00,-1.0094249934013174,0.0,7.187547661759704,6.733922225169758,42.28326576325106,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,173043.2847095646,0.0 
 01/01  08:40:00,-0.9094249934013173,0.0,7.189839081227814,6.735914715585213,42.375378177490187,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,172807.51574461923,0.0 
 01/01  08:50:00,-0.8094249934013174,0.0,7.19501049826058,6.743144068989907,42.4559044384998,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,172559.4148194115,0.0 
 01/01  09:00:00,-0.7094249934013173,0.0,7.205656234328772,6.755191883340872,42.52582125599176,0.0,5812.315488,0.0,1037461.713189153,0.0,,,,,,,,,,,,,968.719248,0.0,172291.0664874041,0.0 
 01/01  09:10:00,-0.676091660067984,0.0,7.21833327842854,6.769484121381664,42.58917394718001,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,172189.87767867605,0.0 
 01/01  09:20:00,-0.6427583267346506,0.0,7.233746264698173,6.784989102612549,42.65432435175367,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,172048.662710898,0.0 
 01/01  09:30:00,-0.6094249934013173,0.0,7.251029290356926,6.801846213887765,42.72091444250922,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,171867.08126810377,0.0 
 01/01  09:40:00,-0.576091660067984,0.0,7.277578396693019,6.822851340669291,42.78048750835455,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,171644.26415778287,0.0 
 01/01  09:50:00,-0.5427583267346506,0.0,7.307722898842675,6.848387761758654,42.831586877442,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,171376.57900125104,0.0 
 01/01  10:00:00,-0.5094249934013173,0.0,7.342331669452304,6.878007540635812,42.87522643160324,0.0,5812.315488,0.0,1030180.6069248223,0.0,,,,,,,,,,,,,968.719248,0.0,171054.14210811063,0.0 
 01/01  10:10:00,-0.4094249934013173,0.0,7.381018649503977,6.91330755049285,42.90375735449151,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,170469.3349940222,0.0 
 01/01  10:20:00,-0.30942499340131737,0.0,7.423480003357393,6.952256985254747,42.91921660179697,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,169818.12571623573,0.0 
 01/01  10:30:00,-0.20942499340131733,0.0,7.468915155792493,6.99459137701085,42.92151764935528,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,169095.05695474574,0.0 
 01/01  10:40:00,-0.10942499340131733,0.0,7.513695870223527,7.039726993231278,42.912349393728167,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,168294.35394424364,0.0 
 01/01  10:50:00,-0.009424993401317276,0.0,7.559558954306605,7.086893521777536,42.89427769898124,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,167418.94510649084,0.0 
 01/01  11:00:00,0.0905750065986827,0.0,7.608144840575631,7.136093583783876,42.86620791947427,0.0,5812.315488,0.0,1011567.7333017963,0.0,,,,,,,,,,,,,968.719248,0.0,166471.91658605814,0.0 
 01/01  11:10:00,0.20724167326534938,0.0,7.659761090147845,7.188316610145512,42.83456044159155,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,165407.1582647636,0.0 
 01/01  11:20:00,0.32390833993201609,0.0,7.714196108798056,7.24398182832043,42.808203347083807,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,164273.57078698663,0.0 
 01/01  11:30:00,0.4405750065986827,0.0,7.809572847981169,7.316285408580704,42.75056195896604,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,163063.90954750347,0.0 
 01/01  11:40:00,0.5572416732653494,0.0,7.829424079099993,7.379675414811756,42.73599024184557,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,161748.96143117618,0.0 
 01/01  11:50:00,0.673908339932016,0.0,7.875598919116436,7.430222031862269,42.77476449244435,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,160337.40265430607,0.0 
 01/01  12:00:00,0.7905750065986827,0.0,7.919999779827482,7.475435024790172,42.8439270628997,0.0,5812.315488,0.0,973716.8344678979,0.0,,,,,,,,,,,,,968.719248,0.0,158885.83178316203,0.0 
 01/01  12:10:00,0.8239083399320161,0.0,7.9630516291445538,7.518302745286239,42.91583714295126,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,157666.95764116199,0.0 
 01/01  12:20:00,0.8572416732653494,0.0,8.006265844180156,7.559943409734196,42.979098975670989,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,156433.46249646593,0.0 
 01/01  12:30:00,0.8905750065986827,0.0,8.04929265556621,7.600864769074498,43.02928723333665,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,155200.5602243691,0.0 
 01/01  12:40:00,0.923908339932016,0.0,8.299571397422808,7.722165462334311,42.829115560644627,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,153959.0073567716,0.0 
 01/01  12:50:00,0.9572416732653494,0.0,8.49894797506414,7.927232147883433,42.37421562654441,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,152559.61272301229,0.0 
